rus: бонг	rel:etymology	tha: บ้อง
ita: aerofonista	rel:etymology	ita: aero-
ara: ṭlb	rel:etymology	ara: ṭalaba
rus: кибератака	rel:etymology	rus: атака
spa: estiramiento	rel:etymology	spa: estirar
tur: şerefe	rel:etymology	ara: şrf
jpn: 出生率	rel:etymology	jpn: -率
tur: gusto	rel:etymology	ita: gusto
tur: özenli	rel:etymology	tur: özen
ara: şḳw	rel:etymology	ara: şaḳīy
spa: empeorar	rel:etymology	spa: peor
ara: ḳlfṭ/clft	rel:etymology	Aramice/Süryanice: ḳəlāphtā 
jpn: 最後	rel:etymology	jpn: 最-
swe: hovrättsråd	rel:etymology	swe: hovrätt
ara: Amr	rel:etymology	ara: amara
ita: cangiabile	rel:etymology	ita: -abile
ara: nẓm	rel:etymology	ara: naẓama
rus: герб	rel:etymology	pol: herb
rus: неразумие	rel:etymology	rus: -ие
jpn: 伝言板	rel:etymology	jpn: 板
jpn: ビルディング	rel:etymology	eng: building
jpn: プラットホーム	rel:etymology	eng: platform
spa: Hefesto	rel:etymology	grc: Ἥφαιστος
rus: главный лонжерон	rel:etymology	fra: longeron
ara: ẓarufa	rel:etymology	ara: ẓarf
rus: такелаж	rel:etymology	nld: takelage
ita: rumoreggiamento	rel:etymology	ita: -mento
ita: oscenamente	rel:etymology	ita: osceno
ita: Giulio	rel:etymology	lat: Iulius
swe: ritteknik	rel:etymology	swe: rita
tur: hemoraji	rel:etymology	fre: hémorragie
jpn: 現実的	rel:etymology	jpn: 現実
tur: şümul	rel:etymology	ara: şml
spa: navajo	rel:etymology	tew: navahu
tur: ferforje	rel:etymology	fre: fer forgé
spa: fraile	rel:etymology	oci: fraire
rus: грабар	rel:etymology	hye: գրաբար
rus: кумир	rel:etymology	chu: кѹмир
jpn: 哲学者	rel:etymology	jpn: 哲学
jpn: パターン	rel:etymology	eng: pattern
tur: yüzük	rel:etymology	Eski Türkçe: yüzük
tur: bilek	rel:etymology	Eski Türkçe: bilek
swe: orätt	rel:etymology	non: óréttr
jpn: 飛行場	rel:etymology	jpn: 飛行
eng: doobage	rel:etymology	eng: -age
ara: şhw	rel:etymology	ara: şahā
jpn: 依存症	rel:etymology	jpn: -症
eng: nonabsorbent	rel:etymology	eng: non-
tur: ind	rel:etymology	ara: ˁnd
tur: görüngü	rel:etymology	Türkiye Türkçesi: görün-
